Id,island,sex,species,bill_length,bill_depth,flipper_length,body_mass
182,Biscoe,FEMALE,Gentoo,47.1,16.0,184.43,2862.01
39,Biscoe,FEMALE,Gentoo,55.63,7.55,187.28,3345.1
265,Torgersen,FEMALE,Adelie,35.03,19.8,202.43,3536.63
158,Biscoe,,Gentoo,28.18,20.59,220.22,4235.4
254,Dream,MALE,Chinstrap,25.38,25.22,233.34,5732.33
45,Torgersen,MALE,Adelie,47.0,13.0,198.0,5629.8
65,Dream,MALE,Adelie,18.48,16.3,188.27,5517.11
102,Biscoe,MALE,Gentoo,55.55,20.05,228.59,4901.44
88,Biscoe,MALE,Gentoo,66.33,10.64,206.48,7681.33
244,Dream,FEMALE,Chinstrap,42.63,16.03,207.91,4892.16
1,Torgersen,,Adelie,31.14,20.03,182.08,7561.34
207,Dream,FEMALE,Chinstrap,52.42,14.94,122.32,609.36
113,Dream,FEMALE,Chinstrap,38.03,7.84,185.69,-676.0
25,Dream,MALE,Chinstrap,65.5,16.39,147.77,4595.08
180,Dream,FEMALE,Adelie,37.95,21.71,163.57,4951.23
155,Dream,MALE,Chinstrap,51.08,27.05,223.73,1999.5
164,Biscoe,MALE,Gentoo,68.41,14.59,218.87,5792.45
194,Dream,FEMALE,Adelie,26.02,14.6,140.28,5193.88
66,Torgersen,FEMALE,Adelie,27.85,19.28,172.33,1578.83
132,Biscoe,FEMALE,Adelie,33.4,17.53,273.18,2686.24
259,Torgersen,MALE,Adelie,34.99,17.74,236.37,3686.64
110,Biscoe,FEMALE,Gentoo,34.88,12.25,184.58,4896.53
97,Dream,MALE,Chinstrap,64.21,17.77,147.67,3718.56
161,Torgersen,MALE,Adelie,20.24,17.61,154.4,2887.89
57,Biscoe,FEMALE,Gentoo,46.04,11.47,243.91,6303.15
79,Biscoe,MALE,Gentoo,44.97,18.35,131.99,6970.51
30,Dream,MALE,Chinstrap,70.75,20.7,280.75,4870.12
98,Biscoe,MALE,Adelie,76.95,30.67,145.71,529.96
229,Biscoe,FEMALE,Gentoo,44.9,19.18,252.39,5741.33
249,Biscoe,MALE,Gentoo,57.03,13.27,244.7,2460.91
131,Biscoe,MALE,Gentoo,49.43,15.15,264.31,3644.41
159,Dream,FEMALE,Adelie,11.16,13.1,178.65,2763.04
270,Biscoe,MALE,Adelie,4.36,17.59,189.2,6649.46
136,Torgersen,MALE,Adelie,28.67,17.86,249.59,3982.4
10,Biscoe,MALE,Adelie,31.32,24.12,220.11,7045.44
193,Biscoe,MALE,Adelie,29.92,16.76,151.38,1720.54
56,Biscoe,FEMALE,Gentoo,34.56,10.24,210.47,6382.7
107,Dream,MALE,Chinstrap,48.96,28.14,219.16,1331.88
222,Biscoe,FEMALE,Adelie,47.82,14.08,190.55,5195.65
21,Biscoe,FEMALE,Gentoo,35.7,16.28,203.31,5451.45
167,Biscoe,MALE,Gentoo,42.6,14.88,207.69,5308.47
133,Biscoe,MALE,Gentoo,30.92,18.59,161.29,5501.81
200,Dream,MALE,Adelie,54.73,14.29,204.21,2177.19
85,Biscoe,FEMALE,Gentoo,37.52,9.88,205.01,4458.18
59,Dream,FEMALE,Chinstrap,39.78,20.75,163.12,5381.15
142,Dream,MALE,Adelie,37.78,14.1,178.74,1521.71
17,Biscoe,FEMALE,Adelie,5.81,16.71,179.09,4190.67
144,Dream,FEMALE,Adelie,32.24,16.1,136.3,566.82
11,Biscoe,FEMALE,Adelie,36.15,16.93,219.9,1079.62
202,Biscoe,MALE,Gentoo,59.38,12.56,266.26,3886.62
90,Biscoe,FEMALE,Gentoo,73.7,11.27,200.86,9088.01
95,Biscoe,MALE,Gentoo,33.87,11.01,243.95,6071.55
122,Dream,FEMALE,Adelie,34.33,15.06,134.29,2025.87
12,Biscoe,MALE,Gentoo,58.44,15.17,138.78,6934.63
94,Dream,MALE,Adelie,14.19,19.82,143.81,4570.59
4,Biscoe,MALE,Gentoo,53.51,12.9,224.78,3993.22
225,Dream,MALE,Adelie,33.84,19.37,264.7,2005.2
114,Biscoe,MALE,Gentoo,29.55,17.06,220.64,5491.39
149,Dream,MALE,Chinstrap,41.07,26.69,188.87,3718.34
179,Biscoe,MALE,Gentoo,60.16,15.38,249.45,4818.32
260,Dream,FEMALE,Chinstrap,58.45,21.04,225.06,2339.07
92,Biscoe,MALE,Gentoo,45.22,15.01,256.12,5913.85
189,Biscoe,MALE,Gentoo,31.85,14.31,227.07,5663.35
70,Dream,FEMALE,Adelie,30.14,20.95,155.37,4594.53
221,Torgersen,FEMALE,Adelie,18.34,17.32,194.09,3510.28
87,Dream,MALE,Chinstrap,30.89,13.34,183.31,1925.72
204,Biscoe,FEMALE,Gentoo,45.89,4.57,262.35,4509.5
141,Dream,MALE,Chinstrap,17.61,23.94,180.82,256.02
261,Biscoe,FEMALE,Adelie,12.65,22.42,262.28,3798.46
73,Biscoe,MALE,Adelie,31.21,18.96,158.68,4623.65
218,Biscoe,FEMALE,Gentoo,8.0,16.19,203.71,2121.0
237,Biscoe,MALE,Gentoo,62.89,11.3,256.48,4794.98
206,Dream,FEMALE,Chinstrap,57.5,19.98,193.24,4200.36
153,Dream,FEMALE,Adelie,46.66,17.79,144.28,4913.54
183,Torgersen,FEMALE,Adelie,39.85,20.82,214.95,2870.67
77,Torgersen,FEMALE,Adelie,48.86,13.62,178.28,7187.1
64,Dream,MALE,Chinstrap,53.17,20.61,174.6,2425.07
106,Dream,MALE,Chinstrap,47.77,18.77,280.87,5689.84
266,Biscoe,MALE,Gentoo,38.98,14.97,194.17,6348.11
236,Dream,MALE,Adelie,43.13,12.79,195.76,7265.41
186,Biscoe,FEMALE,Gentoo,45.0,11.13,213.06,7024.02
168,Dream,FEMALE,Chinstrap,37.76,20.61,155.28,4620.0
23,Biscoe,FEMALE,Gentoo,58.07,13.24,243.75,5305.78
128,Dream,MALE,Chinstrap,59.19,15.67,161.13,3812.78
227,Dream,FEMALE,Adelie,55.28,13.79,196.7,4200.93
216,Dream,MALE,Chinstrap,41.95,15.63,184.86,3473.97
75,Dream,MALE,Adelie,34.16,13.68,174.24,1781.43
138,Torgersen,MALE,Adelie,58.7,18.88,137.36,694.37
135,Dream,FEMALE,Chinstrap,38.79,14.44,247.36,4466.99
126,Dream,MALE,Chinstrap,35.42,20.36,204.93,3095.07
145,Biscoe,MALE,Gentoo,52.97,21.17,267.42,3774.65
104,Biscoe,MALE,Gentoo,17.74,24.14,201.13,4638.68
162,Torgersen,MALE,Adelie,61.9,16.42,239.61,1235.44
28,Dream,MALE,Chinstrap,58.56,27.6,206.03,5173.67
253,Biscoe,MALE,Gentoo,49.81,27.57,229.22,5697.39
5,Biscoe,MALE,Gentoo,64.69,21.53,224.21,8353.95
143,Biscoe,FEMALE,Gentoo,56.58,17.9,238.32,2138.87
157,Biscoe,FEMALE,Adelie,38.9,18.09,157.32,5963.76
199,Dream,FEMALE,Chinstrap,43.4,19.2,115.41,6397.34
217,Dream,MALE,Chinstrap,42.21,23.69,192.12,5222.81
49,Dream,MALE,Adelie,25.55,22.0,148.41,1813.06
13,Dream,MALE,Adelie,35.55,22.12,205.13,1076.01
38,Biscoe,MALE,Gentoo,27.42,10.26,213.25,6934.69
48,Dream,FEMALE,Adelie,53.34,30.14,147.67,7416.17
258,Dream,FEMALE,Adelie,36.99,17.93,161.77,4411.58
152,Dream,FEMALE,Adelie,28.75,22.01,181.68,3501.4
201,Biscoe,MALE,Gentoo,55.89,18.38,245.11,7321.95
89,Biscoe,FEMALE,Gentoo,42.81,11.53,169.36,5194.49
190,Dream,MALE,Chinstrap,44.8,16.36,207.18,5749.11
213,Dream,FEMALE,Chinstrap,57.3,16.72,175.64,2721.94
29,Torgersen,FEMALE,Adelie,18.78,18.57,204.74,4334.29
8,Dream,FEMALE,Chinstrap,57.81,17.23,202.75,2951.54
177,Biscoe,FEMALE,Adelie,44.3,23.08,159.3,5816.27
175,Dream,FEMALE,Adelie,30.44,20.89,167.1,3395.63
19,Dream,FEMALE,Adelie,44.27,23.23,143.87,6154.61
84,Biscoe,FEMALE,Gentoo,16.01,13.65,215.32,4298.71
146,Biscoe,FEMALE,Adelie,40.02,17.76,186.37,2390.29
24,Biscoe,FEMALE,Gentoo,60.95,12.27,230.9,3627.68
101,Torgersen,FEMALE,Adelie,20.29,19.88,186.77,4461.28
185,Dream,FEMALE,Chinstrap,67.58,14.87,172.71,3330.32
263,Biscoe,MALE,Gentoo,38.55,20.13,204.77,9111.5
108,Biscoe,FEMALE,Gentoo,57.25,16.36,232.25,7442.2
93,Torgersen,FEMALE,Adelie,28.64,20.97,220.62,3626.84
36,Biscoe,MALE,Gentoo,41.87,15.25,153.56,4536.89
18,Biscoe,,Gentoo,42.27,17.0,179.42,5006.53
134,Dream,MALE,Adelie,44.92,16.79,164.77,2830.73
257,Biscoe,MALE,Gentoo,26.5,19.17,165.57,4325.26
181,Dream,MALE,Adelie,49.05,19.55,164.28,975.41
33,Biscoe,FEMALE,Gentoo,48.28,13.52,218.43,3286.26
63,Biscoe,MALE,Gentoo,46.37,12.01,256.92,2235.07
7,Biscoe,MALE,Gentoo,43.89,12.31,274.29,7444.54
210,Biscoe,FEMALE,Gentoo,51.18,13.74,254.74,4931.16
226,Biscoe,MALE,Gentoo,59.03,16.87,191.18,5848.88
170,Dream,FEMALE,Chinstrap,32.0,17.33,200.99,3945.43
81,Dream,FEMALE,Adelie,35.07,14.42,191.11,4185.1
262,Dream,MALE,Adelie,41.74,21.75,172.27,3872.41
46,Biscoe,FEMALE,Gentoo,50.18,17.39,269.79,1302.81
172,Biscoe,FEMALE,Adelie,41.93,14.89,187.03,328.88
51,Biscoe,MALE,Gentoo,40.39,8.56,164.82,3478.28
6,Torgersen,FEMALE,Adelie,39.09,14.2,165.22,4261.26
228,Biscoe,MALE,Adelie,35.09,13.58,185.9,6395.02
109,Dream,FEMALE,Chinstrap,50.34,24.6,178.08,1164.43
242,Dream,FEMALE,Chinstrap,35.6,18.72,282.02,1602.11
76,Torgersen,MALE,Adelie,50.47,16.34,211.55,2598.02
123,Biscoe,MALE,Gentoo,76.95,15.68,237.55,4625.28
68,Dream,MALE,Adelie,20.43,16.2,185.71,4419.22
197,Biscoe,MALE,Adelie,35.21,13.01,166.37,7270.98
71,Dream,FEMALE,Chinstrap,28.98,11.98,180.76,6336.87
238,Biscoe,FEMALE,Gentoo,41.54,3.94,238.23,4938.25
248,Biscoe,FEMALE,Gentoo,36.29,20.99,186.26,4539.23
169,Biscoe,MALE,Gentoo,29.4,16.2,254.73,2792.56
174,Dream,MALE,Adelie,45.48,15.84,138.57,4192.41
196,Torgersen,,Adelie,41.51,17.78,221.07,3990.66
118,Torgersen,FEMALE,Adelie,28.33,15.95,172.83,2874.59
184,Biscoe,FEMALE,Gentoo,48.34,6.83,264.65,4162.64
246,Biscoe,MALE,Adelie,22.69,17.44,165.1,4221.51
26,Dream,MALE,Chinstrap,47.64,21.01,212.32,7176.19
178,Dream,MALE,Adelie,38.12,21.53,176.86,5141.74
116,Biscoe,MALE,Gentoo,48.22,10.17,236.92,7906.69
231,Torgersen,MALE,Adelie,53.66,17.95,151.35,2148.82
147,Dream,FEMALE,Adelie,29.61,15.09,263.14,3931.18
139,Dream,MALE,Adelie,59.88,22.25,231.81,1927.29
78,Biscoe,MALE,Gentoo,63.19,14.97,178.52,8219.58
235,Biscoe,MALE,Gentoo,46.08,9.35,168.32,6575.01
195,Torgersen,MALE,Adelie,26.46,32.62,231.48,4323.15
171,Dream,FEMALE,Chinstrap,67.12,15.75,155.74,4039.99
232,Dream,FEMALE,Adelie,30.46,14.06,177.97,3506.48
198,Torgersen,FEMALE,Adelie,39.2,21.96,158.26,4926.71
35,Biscoe,MALE,Gentoo,43.63,19.27,166.47,7925.8
42,Biscoe,FEMALE,Adelie,27.78,20.74,182.89,-14.86
268,Dream,MALE,Chinstrap,90.48,22.02,179.42,9099.33
31,Torgersen,MALE,Adelie,38.38,18.9,177.35,4930.93
250,Biscoe,FEMALE,Adelie,6.13,16.4,251.65,5929.41
53,Biscoe,MALE,Adelie,30.64,21.43,164.92,4891.75
173,Dream,FEMALE,Chinstrap,65.81,25.79,208.55,4420.29
234,Dream,MALE,Chinstrap,61.06,22.79,186.48,3971.92
9,Biscoe,FEMALE,Gentoo,41.71,16.53,144.93,7712.22
117,Biscoe,MALE,Gentoo,63.43,12.04,259.02,6935.27
67,Biscoe,MALE,Gentoo,58.82,18.1,245.21,2991.22
151,Torgersen,FEMALE,Adelie,25.83,18.38,233.07,-168.87
20,Dream,MALE,Chinstrap,51.95,24.82,235.78,3593.19
37,Dream,FEMALE,Chinstrap,71.96,13.33,211.79,4264.05
137,Dream,FEMALE,Chinstrap,52.4,15.32,239.27,2264.77
32,Dream,MALE,Adelie,24.02,16.91,196.59,2799.02
119,Torgersen,MALE,Adelie,50.79,15.95,247.59,3443.49
176,Dream,FEMALE,Chinstrap,44.51,21.66,200.16,3915.99
125,Dream,FEMALE,Chinstrap,69.22,9.48,189.75,3609.02
245,Dream,FEMALE,Chinstrap,41.98,25.1,141.03,3810.08
105,Biscoe,FEMALE,Gentoo,51.15,18.36,255.5,4645.51
150,Dream,MALE,Chinstrap,51.6,21.4,217.14,5835.28
16,Torgersen,FEMALE,Adelie,48.24,18.9,216.79,5179.1
15,Dream,MALE,Adelie,39.02,11.99,217.96,15.56
2,Dream,FEMALE,Adelie,21.21,17.26,125.79,4673.81
52,Biscoe,FEMALE,Gentoo,64.7,7.52,231.86,4482.01
91,Dream,MALE,Chinstrap,64.73,17.05,207.2,1721.59
43,Dream,MALE,Adelie,31.96,24.14,142.9,430.54
205,Biscoe,MALE,Gentoo,52.48,13.49,196.82,4746.64
223,Torgersen,MALE,Adelie,28.89,28.36,169.67,3729.26
247,Dream,MALE,Adelie,19.48,28.5,210.12,4549.29
54,Biscoe,FEMALE,Gentoo,52.18,16.26,206.29,4286.98
140,Biscoe,MALE,Adelie,54.44,16.32,177.92,4008.17
160,Biscoe,,Gentoo,32.66,12.57,223.53,3289.11
